gene_id	ref_id
MSTRG.786	Solyc01g015020.4
MSTRG.787	Solyc01g015050.1
MSTRG.789	Solyc01g015060.1
MSTRG.790	Solyc01g015080.3
MSTRG.791	Solyc01g150118.1
MSTRG.792	lnc_RNA:Solyc01r002430.1
MSTRG.793	Solyc01g015293.1
MSTRG.797	Solyc01g016460.4
MSTRG.798	Solyc01g016470.3
MSTRG.800	Solyc01g016550.2
MSTRG.801	Solyc01g016560.1
MSTRG.805	Solyc01g016770.1
MSTRG.806	Solyc01g016780.1
MSTRG.808	Solyc01g016800.2
MSTRG.810	Solyc01g150120.1
MSTRG.813	Solyc01g017560.3
MSTRG.814	Solyc01g017600.3
MSTRG.816	Solyc01g017720.2
MSTRG.818	Solyc01g017860.3
MSTRG.819	lnc_RNA:Solyc01r002690.1
MSTRG.821	Solyc01g018010.2
MSTRG.823	Solyc01g018100.1
MSTRG.825	Solyc01g020190.2
MSTRG.826	Solyc01g020220.3
MSTRG.827	lnc_RNA:Solyc01r002770.1
MSTRG.828	Solyc01g020240.4
MSTRG.830	Solyc01g020320.3
MSTRG.833	Solyc01g150126.1
MSTRG.834	Solyc01g020440.3
MSTRG.836	Solyc01g020500.2
MSTRG.837	Solyc01g020520.4
MSTRG.838	Solyc01g020524.1
MSTRG.839	Solyc01g020526.1
MSTRG.840	Solyc01g020528.1
MSTRG.842	Solyc01g021600.4
MSTRG.843	Solyc01g021610.1
MSTRG.845	Solyc01g021640.3
MSTRG.848	Solyc01g021680.1
MSTRG.849	Solyc01g021720.1
MSTRG.850	Solyc01g022740.3
MSTRG.851	Solyc01g022750.3
MSTRG.853	Solyc01g034020.3
MSTRG.856	Solyc01g034150.4
MSTRG.859	lnc_RNA:Solyc01r002970.1
MSTRG.861	Solyc01g028930.4
MSTRG.863	Solyc01g028900.3
MSTRG.864	Solyc01g028870.3
MSTRG.865	lnc_RNA:Solyc01r003060.1
MSTRG.866	Solyc01g028860.3
MSTRG.867	Solyc01g028830.3
MSTRG.868	Solyc01g028810.3
MSTRG.870	Solyc01g028800.3
MSTRG.882	Solyc01g028803.1
MSTRG.883	Solyc01g028807.1
MSTRG.893	Solyc01g044270.3
MSTRG.896	Solyc01g044360.4
MSTRG.897	lnc_RNA:Solyc01r003150.1
MSTRG.898	Solyc01g044365.1
MSTRG.899	Solyc01g044420.4
MSTRG.900	Solyc01g044490.4
MSTRG.902	Solyc01g044554.1
MSTRG.905	lnc_RNA:Solyc01r003160.1
MSTRG.906	Solyc01g049650.3
MSTRG.908	Solyc01g049770.3
MSTRG.909	Solyc01g049810.4
MSTRG.910	Solyc01g049820.2
MSTRG.911	Solyc01g049830.2
MSTRG.912	Solyc01g049840.1
MSTRG.913	Solyc01g150130.1
MSTRG.915	lnc_RNA:Solyc01r003190.1
MSTRG.916	Solyc01g049890.3
MSTRG.917	Solyc01g049910.4
MSTRG.918	lnc_RNA:Solyc01r003200.1
MSTRG.919	Solyc01g049920.2
MSTRG.920	Solyc01g150131.1
MSTRG.921	Solyc01g049960.4
MSTRG.922	lnc_RNA:Solyc01r003220.1
MSTRG.923	Solyc01g050010.3
MSTRG.924	lnc_RNA:Solyc01r003230.1
MSTRG.927	Solyc01g050070.4
MSTRG.928	Solyc01g050050.1
MSTRG.929	lnc_RNA:Solyc01r003250.1
MSTRG.930	Solyc01g056320.1
MSTRG.931	Solyc01g056340.4
MSTRG.934	Solyc01g056370.3
MSTRG.937	Solyc01g056480.3
MSTRG.938	Solyc01g056520.3
MSTRG.939	Solyc01g056570.3
MSTRG.940	Solyc01g056580.4
MSTRG.942	Solyc01g056690.4
MSTRG.943	lnc_RNA:Solyc01r003290.1
MSTRG.944	Solyc01g056720.4
MSTRG.945	Solyc01g056780.3
MSTRG.946	lnc_RNA:Solyc01r003330.1
MSTRG.949	Solyc01g056850.3
MSTRG.952	Solyc01g056940.4
MSTRG.953	lnc_RNA:Solyc01r003400.1
MSTRG.955	Solyc01g056990.3
MSTRG.956	Solyc01g057000.3
MSTRG.957	lnc_RNA:Solyc01r003410.1
MSTRG.958	Solyc01g057020.3
MSTRG.959	Solyc01g057080.1
MSTRG.960	Solyc01g057090.4
MSTRG.962	Solyc01g057120.2
MSTRG.963	Solyc01g057133.1
MSTRG.965	Solyc01g057137.1
MSTRG.966	Solyc01g057150.1
