"transcript_id"	"gene_id"
"Solyc00g049220.1.1"	"Solyc00g049220.1"
"Solyc00g500186.1.1"	"MSTRG.90"
"MSTRG.91.1"	"MSTRG.91"
"Solyc00g500187.1.1"	"MSTRG.92"
"Solyc00g500188.1.1"	"MSTRG.93"
"Solyc00g500189.1.1"	"MSTRG.94"
"Solyc00g021660.1.1"	"Solyc00g021660.1"
"Solyc00g500190.1.1"	"MSTRG.95"
"Solyc00g500191.1.1"	"MSTRG.96"
"Solyc00g500192.1.1"	"MSTRG.97"
"MSTRG.97.1"	"MSTRG.97"
"Solyc00g500193.1.1"	"MSTRG.97"
"MSTRG.98.1"	"MSTRG.98"
"MSTRG.98.2"	"MSTRG.98"
"MSTRG.98.3"	"MSTRG.98"
"MSTRG.98.4"	"MSTRG.98"
"MSTRG.98.5"	"MSTRG.98"
"MSTRG.98.7"	"MSTRG.98"
"MSTRG.98.6"	"MSTRG.98"
"MSTRG.98.8"	"MSTRG.98"
"MSTRG.98.9"	"MSTRG.98"
"MSTRG.98.10"	"MSTRG.98"
"Solyc00g500194.1.1"	"MSTRG.98"
"MSTRG.99.1"	"MSTRG.99"
"MSTRG.98.12"	"MSTRG.98"
"Solyc00g500195.1.1"	"MSTRG.100"
"Solyc00g500196.1.1"	"MSTRG.98"
"Solyc00g500197.1.1"	"MSTRG.98"
"Solyc00g500198.1.1"	"MSTRG.98"
"Solyc00g500199.1.1"	"MSTRG.101"
"Solyc00g500200.1.1"	"MSTRG.102"
"Solyc00g500201.1.1"	"MSTRG.103"
"MSTRG.104.1"	"MSTRG.104"
"Solyc00g500202.1.1"	"MSTRG.104"
"Solyc00g500203.1.1"	"MSTRG.105"
"MSTRG.105.1"	"MSTRG.105"
"Solyc00g500204.1.1"	"MSTRG.105"
"Solyc00g500205.1.1"	"MSTRG.105"
"MSTRG.106.1"	"MSTRG.106"
"Solyc00g500206.1.1"	"MSTRG.106"
"Solyc00g500207.1.1"	"MSTRG.107"
"Solyc00g500208.1.1"	"MSTRG.108"
"Solyc00g500209.1.1"	"MSTRG.109"
"MSTRG.109.1"	"MSTRG.109"
"Solyc00g500210.1.1"	"MSTRG.109"
"Solyc00g500211.1.1"	"MSTRG.109"
"Solyc00g500212.1.1"	"MSTRG.110"
"MSTRG.111.1"	"MSTRG.111"
"Solyc00g500213.1.1"	"Solyc00g500213.1"
"lnc_RNA:Solyc00r000110.1.1"	"lnc_RNA:Solyc00r000110.1"
"Solyc00g500214.1.1"	"Solyc00g500214.1"
"Solyc00g322630.1.1"	"Solyc00g322630.1"
"Solyc00g500215.1.1"	"Solyc00g500215.1"
"Solyc00g500216.1.1"	"Solyc00g500216.1"
"Solyc00g500217.1.1"	"Solyc00g500217.1"
"Solyc00g500218.1.1"	"Solyc00g500218.1"
"Solyc00g266110.1.1"	"Solyc00g266110.1"
"Solyc00g254910.1.1"	"Solyc00g254910.1"
"Solyc00g500219.1.1"	"Solyc00g500219.1"
"Solyc00g500220.1.1"	"Solyc00g500220.1"
"Solyc00g500221.1.1"	"Solyc00g500221.1"
"Solyc00g500222.1.1"	"Solyc00g500222.1"
"lnc_RNA:Solyc00r000120.1.1"	"lnc_RNA:Solyc00r000120.1"
"MSTRG.112.1"	"MSTRG.112"
"MSTRG.113.1"	"MSTRG.113"
"Solyc00g198360.1.1"	"Solyc00g198360.1"
"Solyc00g500223.1.1"	"Solyc00g500223.1"
"Solyc00g036520.1.1"	"Solyc00g036520.1"
"Solyc00g052540.1.1"	"Solyc00g052540.1"
"Solyc00g052530.2.1"	"Solyc00g052530.2"
"Solyc00g500224.1.1"	"Solyc00g500224.1"
"Solyc00g047180.1.1"	"Solyc00g047180.1"
"Solyc00g047190.1.1"	"Solyc00g047190.1"
"Solyc00g047200.1.1"	"MSTRG.114"
"Solyc00g500225.1.1"	"Solyc00g500225.1"
"Solyc00g500226.1.1"	"Solyc00g500226.1"
"MSTRG.115.1"	"MSTRG.115"
"Solyc00g500227.1.1"	"MSTRG.115"
"MSTRG.116.1"	"MSTRG.116"
"Solyc00g500228.1.1"	"MSTRG.116"
"Solyc00g500229.1.1"	"Solyc00g500229.1"
"Solyc00g500230.1.1"	"Solyc00g500230.1"
"lnc_RNA:Solyc00r000130.1.1"	"lnc_RNA:Solyc00r000130.1"
"lnc_RNA:Solyc00r000140.1.1"	"lnc_RNA:Solyc00r000140.1"
"Solyc00g500231.1.1"	"Solyc00g500231.1"
"lnc_RNA:Solyc00r000150.1.1"	"lnc_RNA:Solyc00r000150.1"
"Solyc00g500232.1.1"	"Solyc00g500232.1"
"lnc_RNA:Solyc00r000160.1.1"	"lnc_RNA:Solyc00r000160.1"
"lnc_RNA:Solyc00r000170.1.1"	"lnc_RNA:Solyc00r000170.1"
"MSTRG.117.1"	"MSTRG.117"
"lnc_RNA:Solyc00r000180.1.1"	"MSTRG.117"
"lnc_RNA:Solyc00r000190.1.1"	"lnc_RNA:Solyc00r000190.1"
"Solyc00g500233.1.1"	"Solyc00g500233.1"
"MSTRG.118.1"	"MSTRG.118"
"MSTRG.119.1"	"MSTRG.119"
"MSTRG.118.2"	"MSTRG.118"
"MSTRG.119.2"	"MSTRG.119"
"MSTRG.119.3"	"MSTRG.119"
"MSTRG.118.3"	"MSTRG.118"
"MSTRG.118.4"	"MSTRG.118"
"MSTRG.119.4"	"MSTRG.119"
"MSTRG.118.5"	"MSTRG.118"
"MSTRG.118.6"	"MSTRG.118"
"MSTRG.118.7"	"MSTRG.118"
"MSTRG.118.8"	"MSTRG.118"
"MSTRG.119.5"	"MSTRG.119"
"MSTRG.119.6"	"MSTRG.119"
"MSTRG.118.9"	"MSTRG.118"
"MSTRG.119.10"	"MSTRG.119"
"MSTRG.119.7"	"MSTRG.119"
"MSTRG.119.8"	"MSTRG.119"
"MSTRG.119.9"	"MSTRG.119"
"MSTRG.118.10"	"MSTRG.118"
"MSTRG.118.11"	"MSTRG.118"
"MSTRG.118.12"	"MSTRG.118"
"MSTRG.118.13"	"MSTRG.118"
"MSTRG.119.11"	"MSTRG.119"
"MSTRG.119.12"	"MSTRG.119"
"MSTRG.118.14"	"MSTRG.118"
"MSTRG.119.13"	"MSTRG.119"
"MSTRG.118.15"	"MSTRG.118"
"MSTRG.120.1"	"MSTRG.120"
"MSTRG.121.1"	"MSTRG.121"
"MSTRG.122.1"	"MSTRG.122"
"MSTRG.123.1"	"MSTRG.123"
"MSTRG.124.1"	"MSTRG.124"
"MSTRG.125.1"	"MSTRG.125"
"MSTRG.126.1"	"MSTRG.126"
"MSTRG.126.2"	"MSTRG.126"
"MSTRG.127.1"	"MSTRG.127"
"MSTRG.127.3"	"MSTRG.127"
"MSTRG.126.4"	"MSTRG.126"
"MSTRG.126.5"	"MSTRG.126"
"MSTRG.126.6"	"MSTRG.126"
"MSTRG.127.2"	"MSTRG.127"
"MSTRG.127.4"	"MSTRG.127"
"MSTRG.126.3"	"MSTRG.126"
"MSTRG.126.7"	"MSTRG.126"
"MSTRG.127.5"	"MSTRG.127"
"MSTRG.126.8"	"MSTRG.126"
"MSTRG.127.6"	"MSTRG.127"
"MSTRG.126.9"	"MSTRG.126"
"MSTRG.127.8"	"MSTRG.127"
